,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,PORP4,2.4,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-2,08%",0.0,22399000.0,0.0,"13,66%"
1,CLAN3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-1,05%",0.0,1012240000.0,0.0,"-63,96%"
2,CSTB3,150.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"40,85%","28,98%",2.6,"22,40%","20,11%",0.0,8420670000.0,0.14,"31,91%"
3,MNSA4,0.47,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"-208,15%","-362,66%",3.63,"-13,50%","145,70%",0.0,-9105000.0,-6.52,"-41,11%"
4,POPR4,10.17,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"8,66%","5,65%",1.08,"15,25%","19,93%",0.0,545803000.0,0.82,"30,93%"
5,CSTB4,147.69,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"40,85%","28,98%",2.6,"22,40%","20,11%",0.0,8420670000.0,0.14,"31,91%"
6,PMET3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","4,10%",0.0,-290863000.0,0.0,"37,74%"
7,MNSA3,0.42,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"-208,15%","-362,66%",3.63,"-13,50%","145,70%",0.0,-9105000.0,-6.52,"-41,11%"
8,CFLU4,1000.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"8,88%","10,72%",1.1,"17,68%","32,15%",0.0,60351000.0,0.06,"8,14%"
9,IVTT3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-0,40%",0.0,1083050000.0,0.0,"20,67%"
10,RRRP3,42.2,-9446.88,2.08,11.747,"0,00%",1.568,3.98,34.38,5.96,24.49,16.64,"34,17%","2,20%",4.79,"8,60%","-0,02%",225419000.0,4107890000.0,0.01,"256,32%"
11,GNDI3,66.95,-3584.82,5.84,3.423,"2,81%",2.378,79.65,87.05,-6.21,91.13,50.88,"3,93%","-0,09%",1.17,"3,09%","-0,16%",149952000.0,7116080000.0,0.53,"25,23%"
12,PLDN4,486.0,-553.07,1.08,0.919,"0,00%",0.611,1.07,-75.56,3.1,-33.12,-33.12,"-1,22%","-0,17%",10.81,"-1,27%","-0,20%",0.0,289939000.0,0.01,"10,26%"
13,LWSA3,10.26,-384.53,2.06,7.568,"0,00%",1.323,4.11,376.12,11.85,284.19,44.24,"2,01%","-1,97%",3.18,"0,55%","-0,54%",154208000.0,2935070000.0,0.04,"35,43%"
14,AALR3,18.18,-382.32,1.83,1.892,"0,00%",0.846,-21.45,22.85,-2.55,29.77,13.11,"8,28%","0,17%",0.83,"4,02%","-0,48%",9046710.0,1175290000.0,0.66,"-0,42%"
15,LCSA4,35.09,-337.52,-228.0,79.738,"0,00%",125.308,-202.27,-505.8,-96.61,-506.56,-506.56,"-15,77%","-23,63%",0.29,"-28,74%","67,55%",0.0,-377568000.0,-0.35,"6.354,07%"
16,GEPA3,28.0,-300.47,1.39,1.963,"10,50%",0.667,-4.56,15.3,-1.61,21.72,10.36,"12,83%","-0,65%",0.42,"5,34%","-0,46%",6105.98,1907660000.0,0.68,"-0,57%"
17,GEPA4,27.71,-297.36,1.37,1.943,"10,61%",0.66,-4.52,15.15,-1.59,21.56,10.28,"12,83%","-0,65%",0.42,"5,34%","-0,46%",24179.8,1907660000.0,0.68,"-0,57%"
18,BHGR3,19.1,-272.16,1.1,3.613,"0,00%",0.855,-194.45,23.7,-8.56,25.95,14.2,"15,24%","-1,31%",0.96,"3,93%","-0,40%",0.0,1077600000.0,0.2,"20,67%"
19,RJCP3,0.01,-224.7,0.65,0.0,"0,00%",0.619,0.0,-522.94,0.0,-523.96,-917.32,"0,00%","0,00%",0.0,"0,00%","-0,29%",0.0,17287200.0,0.0,"0,00%"
20,ABYA3,4.91,-214.8,1.76,2.055,"0,00%",0.527,1.98,19.96,-2.75,33.67,33.67,"10,29%","-0,96%",2.09,"2,78%","-0,82%",0.0,292060000.0,1.31,"16,41%"
21,PITI4,1.28,-204.74,0.0,0.0,"0,00%",0.0,0.0,-2637.65,0.0,-2637.65,111.07,"0,00%","0,00%",0.0,"0,00%","0,00%",0.0,0.0,0.0,"-29,63%"
22,MAPT3,37.0,-191.03,-5.74,0.0,"0,00%",43.988,-8500.75,-217.97,-5.08,-217.97,-217.97,"0,00%","0,00%",0.0,"-20,29%","3,00%",0.0,-5925000.0,0.0,"0,00%"
23,ELMD3,14.01,-170.85,2.56,4.718,"0,00%",1.204,4.96,81.02,-16.44,82.19,20.62,"5,82%","-2,76%",2.14,"2,56%","-1,50%",2688260.0,767511000.0,0.79,"18,45%"
24,RCSL3,3.67,-170.2,-6.79,4.672,"0,00%",4.203,62.29,334.46,-3.8,329.03,159.9,"1,40%","-2,75%",1.15,"1,38%","3,99%",16354000.0,-40976000.0,-0.0,"433,01%"
25,GLOB4,30.49,-164.09,8.65,1.577,"0,00%",1.379,-228.81,43.17,-4.34,49.94,26.57,"3,65%","-0,96%",0.99,"4,37%","-5,27%",0.0,5637000000.0,1.67,"4,50%"
26,LCSA3,12.5,-120.23,-81.22,28.405,"0,00%",44.638,-72.05,-180.18,-34.41,-180.95,-180.95,"-15,77%","-23,63%",0.29,"-28,74%","67,55%",0.0,-377568000.0,-0.35,"6.354,07%"
27,MAGG3,59.4,-119.98,1.32,0.684,"0,00%",0.44,9.32,4.07,-1.55,6.41,5.34,"16,82%","-0,57%",1.14,"14,05%","-1,10%",0.0,2246130000.0,1.03,"9,27%"
28,ONCO3,10.75,-113.54,2.87,1.971,"0,00%",0.883,3.17,29.46,-6.22,31.76,18.66,"6,69%","-0,83%",2.41,"5,03%","-2,53%",9639060.0,1854010000.0,1.31,"32,77%"
29,IFCM3,14.41,-103.88,3.16,9.604,"0,00%",1.47,-1056.31,-92.32,-6.85,-95.84,3179.61,"-10,40%","-9,25%",1.0,"-2,09%","-3,04%",13777500.0,1286050000.0,0.28,"79,11%"
30,MAPT4,19.99,-103.21,-3.1,0.0,"0,00%",23.766,-4592.7,-117.76,-2.74,-117.76,-117.76,"0,00%","0,00%",0.0,"-20,29%","3,00%",906.51,-5925000.0,0.0,"0,00%"
31,SEQL3,12.4,-96.94,2.88,1.139,"0,00%",0.873,13.67,122.48,-2.35,157.8,15.02,"0,93%","-1,17%",1.25,"0,86%","-2,97%",38032200.0,600831000.0,1.11,"69,81%"
32,LINX3,37.4,-90.95,4.38,7.885,"1,52%",2.745,11.96,53.17,47.06,51.49,22.97,"14,83%","-8,67%",2.14,"6,82%","-4,81%",0.0,1619010000.0,0.22,"15,54%"
33,BNCA3,70.3,-90.3,2.45,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-2,72%",0.0,3068150000.0,0.0,"2,41%"
34,AMIL3,32.2,-73.28,7.7,1.129,"0,00%",2.003,-16.95,136.58,-5.43,138.61,50.13,"0,83%","-1,53%",0.75,"2,22%","-10,51%",0.0,1532980000.0,1.24,"28,47%"
35,BRTP3,35.71,-67.26,2.45,1.168,"0,00%",0.684,8.98,6.03,-2.4,7.55,7.55,"19,37%","-2,96%",1.29,"13,41%","-3,64%",0.0,5302340000.0,0.91,"3,66%"
36,IDVL11,140.0,-66.0,60.56,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-91,76%",0.0,237683000.0,0.0,"0,00%"
37,DASA3,23.85,-59.01,1.77,1.283,"1,23%",0.575,-162.78,264.36,-1.51,344.09,17.75,"0,49%","-2,08%",0.99,"0,27%","-3,00%",12741900.0,7542290000.0,1.01,"32,61%"
38,CASH3,2.71,-57.61,3.21,8.266,"0,22%",2.412,3.83,-32.1,4.74,-24.54,-26.31,"-25,75%","-13,03%",6.82,"-17,80%","-5,57%",100738000.0,678908000.0,0.0,"79,80%"
39,PEFX5,19.0,-52.04,1.68,0.477,"0,00%",0.597,20.34,5.75,-3.18,6.59,0.0,"8,30%","-0,92%",1.07,"11,77%","-3,24%",0.0,396955000.0,0.31,"4,36%"
40,PEFX3,19.0,-52.04,1.68,0.477,"0,00%",0.597,20.34,5.75,-3.18,6.59,0.0,"8,30%","-0,92%",1.07,"11,77%","-3,24%",0.0,396955000.0,0.31,"4,36%"
41,TOYB4,2.5,-47.96,-5.43,5.256,"0,00%",4.405,-6.47,-9.04,-3.83,-9.15,-9.67,"-58,16%","-10,96%",0.49,"-59,36%","11,31%",0.0,-13852000.0,-0.07,"-26,99%"
42,RCSL4,1.02,-47.3,-1.89,1.298,"0,00%",1.168,17.31,92.96,-1.06,87.53,42.54,"1,40%","-2,75%",1.15,"1,38%","3,99%",711843.0,-40976000.0,-0.0,"433,01%"
43,IMBI3,5.01,-46.42,2.81,2659.02,"0,00%",0.518,-2.21,-97.12,-0.37,-104.72,-107.45,"-2.737,88%","-13.821,20%",0.05,"-0,54%","-6,05%",0.0,62544000.0,0.22,"-57,16%"
44,CLAN4,3.0,-44.92,0.47,15.151,"0,00%",0.406,-15.5,-82.56,-6.36,-97.43,22.68,"-18,35%","-33,73%",0.73,"-0,50%","-1,05%",0.0,1012240000.0,0.08,"-63,96%"
45,TOYB3,2.29,-43.94,-4.97,4.815,"0,00%",4.035,-5.93,-8.28,-3.5,-8.39,-8.87,"-58,16%","-10,96%",0.49,"-59,36%","11,31%",0.0,-13852000.0,-0.07,"-26,99%"
46,EBTP3,10.21,-43.56,1.17,0.548,"0,00%",0.353,-502.47,6.42,-0.73,8.46,2.85,"8,53%","-1,03%",0.99,"6,03%","-2,68%",0.0,10782200000.0,0.39,"22,10%"
