data,ipca_alimentos_bebidas,ipca_mensal,igpm,selic_meta_mensal,selic_overnight_mensal,taxa_desemprego_pnad_mensal,indice_volume_vendas_varejo_setor_mensal,indice_producao_bens_consumo_mensal
2000-01-01,0.84,0.62,1.24,19.0,18.94,,54.29,
2000-02-01,-0.25,0.13,0.35,19.0,18.87,,53.93,
2000-03-01,-0.46,0.22,0.15,19.0,18.85,,57.24,
2000-04-01,-0.36,0.42,0.23,18.5,18.62,,58.31,
2000-05-01,-0.67,0.01,0.31,18.5,18.51,,55.81,
2000-06-01,0.11,0.23,0.85,18.5,18.04,,55.81,
2000-07-01,1.78,1.61,1.57,17.5,16.85,,57.86,
2000-08-01,2.07,1.31,2.39,16.5,16.52,,57.15,
2000-09-01,0.53,0.23,1.16,16.5,16.56,,57.41,
2000-10-01,0.16,0.14,0.38,16.5,16.6,,56.79,
2000-11-01,-0.07,0.32,0.29,16.5,16.51,,57.06,
2000-12-01,-0.48,0.59,0.63,16.5,16.19,,75.63,
2001-01-01,0.63,0.57,0.62,15.75,15.49,,56.08,
2001-02-01,0.05,0.46,0.23,15.25,15.2,,54.29,
2001-03-01,1.17,0.38,0.56,15.25,15.39,,60.0,
2001-04-01,1.8,0.58,1.0,15.75,16.02,,58.67,
2001-05-01,0.58,0.41,0.86,16.25,16.43,,55.99,
2001-06-01,0.1,0.52,0.98,16.75,17.28,,56.08,
2001-07-01,0.67,1.33,1.48,18.25,18.57,,56.08,
2001-08-01,0.83,0.7,1.38,19.0,19.0,,57.15,
2001-09-01,0.39,0.28,0.31,19.0,19.06,,57.15,
2001-10-01,1.15,0.83,1.18,19.0,19.06,,57.86,
2001-11-01,1.31,0.71,1.1,19.0,19.05,,56.88,
2001-12-01,0.56,0.65,0.22,19.0,19.05,,73.84,
2002-01-01,0.85,0.52,0.36,19.0,19.05,,55.45,76.7
2002-02-01,0.2,0.36,0.06,19.0,18.97,,52.86,72.7
2002-03-01,0.39,0.6,0.09,18.75,18.72,,61.97,78.4
2002-04-01,-0.32,0.8,0.56,18.5,18.38,,55.0,81.1
2002-05-01,-0.59,0.21,0.83,18.5,18.37,,57.86,81.2
2002-06-01,0.08,0.42,1.54,18.5,18.1,,55.0,77.8
2002-07-01,1.05,1.19,1.95,18.5,18.17,,56.08,87.2
2002-08-01,1.94,0.65,2.32,18.0,17.84,,58.04,90.6
2002-09-01,1.96,0.72,2.4,18.0,17.89,,53.66,88.1
2002-10-01,2.79,1.31,3.87,18.0,19.59,,57.5,99.4
2002-11-01,5.85,3.02,5.19,21.0,21.25,,56.25,92.8
2002-12-01,3.91,2.1,3.75,22.0,23.03,,67.68,81.8
2003-01-01,2.15,2.25,2.33,25.0,25.06,,52.5,74.8
2003-02-01,1.22,1.57,2.28,25.5,25.68,,50.54,71.6
2003-03-01,1.66,1.23,1.53,26.5,26.32,,53.75,74.7
2003-04-01,1.01,0.97,0.92,26.5,26.32,,54.47,74.7
