data,volume_ibovespa,volume,close_stock,high_stock,low_stock,DOLAR,IBOVESPA,cdi,Risco_Brasil,selic_meta_diario,selic_overnight_diario,taxa_desemprego_pnad_mensal_diario,volume_vendas_varejo_setor_diario_x,ipca_diario,igpm_diario,volume_vendas_varejo_setor_diario_y,producao_bens_consumo_diario,tx_juros_americano_day,industry_production_daily,desemprego_americano_day,inflacao_americana_daily
2000-01-03,0,,,,,,16930.0,0.068,626,0.146,0.146,,2.468,0.022,0.056,2.468,,0.088,4.172,0.182,0.263
2000-01-04,0,,,,,,15851.0,0.068,675,0.146,0.146,,2.468,0.022,0.056,2.468,,0.088,4.172,0.182,0.263
2000-01-05,0,985.0,0.322,0.521,0.521,,16245.0,0.068,677,0.146,0.146,,2.468,0.022,0.056,2.468,,0.088,4.172,0.182,0.263
2000-01-06,0,227.0,0.305,0.494,0.494,,16107.0,0.068,688,0.146,0.146,,2.468,0.022,0.056,2.468,,0.088,4.172,0.182,0.263
2000-01-07,0,151.0,0.305,0.494,0.494,,16309.0,0.068,677,0.146,0.146,,2.468,0.022,0.056,2.468,,0.088,4.172,0.182,0.263
2000-01-10,0,1516.0,0.305,0.494,0.494,,17022.0,0.068,668,0.146,0.146,,2.468,0.022,0.056,2.468,,0.088,4.172,0.182,0.263
2000-01-11,0,3791.0,0.305,0.494,0.494,,16573.0,0.068,698,0.146,0.146,,2.468,0.022,0.056,2.468,,0.088,4.172,0.182,0.263
2000-01-12,0,1137.0,0.297,0.481,0.481,,16617.0,0.068,708,0.146,0.146,,2.468,0.022,0.056,2.468,,0.088,4.172,0.182,0.263
2000-01-13,0,606.0,0.299,0.485,0.485,,17298.0,0.068,702,0.146,0.146,,2.468,0.022,0.056,2.468,,0.088,4.172,0.182,0.263
2000-01-14,0,6445.0,0.305,0.494,0.494,,17658.0,0.068,693,0.146,0.146,,2.468,0.022,0.056,2.468,,0.088,4.172,0.182,0.263
2000-01-17,0,25556.0,0.326,0.527,0.527,,18053.0,0.068,,0.146,0.146,,2.468,0.022,0.056,2.468,,0.088,4.172,0.182,0.263
2000-01-18,0,0.0,0.326,0.527,0.527,,17903.0,0.068,687,0.146,0.146,,2.468,0.022,0.056,2.468,,0.088,4.172,0.182,0.263
2000-01-19,0,0.0,0.326,0.527,0.527,,17470.0,0.068,683,0.146,0.146,,2.468,0.022,0.056,2.468,,0.088,4.172,0.182,0.263
2000-01-20,0,0.0,0.326,0.527,0.527,,17177.0,0.068,687,0.146,0.146,,2.468,0.022,0.056,2.468,,0.088,4.172,0.182,0.263
2000-01-21,0,0.0,0.326,0.527,0.527,,17034.0,0.068,685,0.146,0.146,,2.468,0.022,0.056,2.468,,0.088,4.172,0.182,0.263
2000-01-24,0,0.0,0.326,0.527,0.527,,16972.0,0.068,688,0.146,0.146,,2.468,0.022,0.056,2.468,,0.088,4.172,0.182,0.263
2000-01-26,0,1744.0,0.324,0.524,0.524,,17105.0,0.068,703,0.146,0.146,,2.468,0.022,0.056,2.468,,0.088,4.172,0.182,0.263
2000-01-27,0,5384.0,0.309,0.501,0.501,,17081.0,0.068,706,0.146,0.146,,2.468,0.022,0.056,2.468,,0.088,4.172,0.182,0.263
2000-01-28,0,0.0,0.309,0.501,0.501,,16734.0,0.068,750,0.146,0.146,,2.468,0.022,0.056,2.468,,0.088,4.172,0.182,0.263
2000-01-31,0,0.0,0.309,0.501,0.501,,16388.0,0.068,758,0.146,0.146,,2.468,0.022,0.056,2.468,,0.088,4.172,0.182,0.263
2000-02-01,0,0.0,0.309,0.501,0.501,,16522.0,0.068,756,0.146,0.146,,2.451,0.006,0.016,2.451,,0.091,4.188,0.186,0.263
2000-02-02,0,0.0,0.309,0.501,0.501,,16868.0,0.068,763,0.146,0.146,,2.451,0.006,0.016,2.451,,0.091,4.188,0.186,0.263
2000-02-03,0,0.0,0.309,0.501,0.501,,17457.0,0.068,772,0.146,0.146,,2.451,0.006,0.016,2.451,,0.091,4.188,0.186,0.263
2000-02-04,0,227.0,0.289,0.468,0.468,,17932.0,0.068,719,0.146,0.146,,2.451,0.006,0.016,2.451,,0.091,4.188,0.186,0.263
2000-02-07,0,4550.0,0.289,0.468,0.468,,18126.0,0.068,691,0.146,0.146,,2.451,0.006,0.016,2.451,,0.091,4.188,0.186,0.263
2000-02-08,0,1895.0,0.289,0.468,0.468,,18686.0,0.068,677,0.146,0.146,,2.451,0.006,0.016,2.451,,0.091,4.188,0.186,0.263
2000-02-09,0,12057.0,0.322,0.521,0.521,,18361.0,0.068,683,0.146,0.146,,2.451,0.006,0.016,2.451,,0.091,4.188,0.186,0.263
2000-02-10,0,0.0,0.322,0.521,0.521,,18604.0,0.068,668,0.146,0.146,,2.451,0.006,0.016,2.451,,0.091,4.188,0.186,0.263
2000-02-11,0,6142.0,0.309,0.501,0.501,,18083.0,0.068,673,0.146,0.146,,2.451,0.006,0.016,2.451,,0.091,4.188,0.186,0.263
2000-02-14,0,0.0,0.309,0.501,0.501,,17819.0,0.068,686,0.146,0.146,,2.451,0.006,0.016,2.451,,0.091,4.188,0.186,0.263
2000-02-15,0,0.0,0.309,0.501,0.501,,17921.0,0.068,680,0.146,0.146,,2.451,0.006,0.016,2.451,,0.091,4.188,0.186,0.263
2000-02-16,0,0.0,0.309,0.501,0.501,,18112.0,0.068,691,0.146,0.146,,2.451,0.006,0.016,2.451,,0.091,4.188,0.186,0.263
2000-02-17,0,0.0,0.309,0.501,0.501,,17979.0,0.068,689,0.146,0.146,,2.451,0.006,0.016,2.451,,0.091,4.188,0.186,0.263
2000-02-18,0,682.0,0.318,0.514,0.514,,17625.0,0.068,707,0.146,0.146,,2.451,0.006,0.016,2.451,,0.091,4.188,0.186,0.263
2000-02-21,0,0.0,0.318,0.514,0.514,,17700.0,0.068,,0.146,0.146,,2.451,0.006,0.016,2.451,,0.091,4.188,0.186,0.263
2000-02-22,0,75.0,0.3,0.485,0.485,,17489.0,0.068,727,0.146,0.146,,2.451,0.006,0.016,2.451,,0.091,4.188,0.186,0.263
2000-02-23,0,455.0,0.305,0.494,0.494,,17833.0,0.068,699,0.146,0.146,,2.451,0.006,0.016,2.451,,0.091,4.188,0.186,0.263
2000-02-24,0,5005.0,0.301,0.488,0.488,,17776.0,0.068,716,0.146,0.146,,2.451,0.006,0.016,2.451,,0.091,4.188,0.186,0.263
2000-02-25,0,3033.0,0.293,0.475,0.475,,17787.0,0.068,702,0.146,0.146,,2.451,0.006,0.016,2.451,,0.091,4.188,0.186,0.263
2000-02-28,0,0.0,0.293,0.475,0.475,,17543.0,0.068,694,0.146,0.146,,2.451,0.006,0.016,2.451,,0.091,4.188,0.186,0.263
2000-02-29,0,11602.0,0.289,0.468,0.468,,17660.0,0.068,688,0.146,0.146,,2.451,0.006,0.016,2.451,,0.091,4.188,0.186,0.263
2000-03-01,0,0.0,0.289,0.468,0.468,,17953.0,0.068,685,0.146,0.145,,2.602,0.009,0.007,2.602,,0.091,4.203,0.182,0.264
2000-03-02,0,0.0,0.289,0.468,0.468,,18016.0,0.068,665,0.146,0.145,,2.602,0.009,0.007,2.602,,0.091,4.203,0.182,0.264
2000-03-03,0,758.0,0.317,0.513,0.513,,18632.0,0.068,647,0.146,0.145,,2.602,0.009,0.007,2.602,,0.091,4.203,0.182,0.264
2000-03-08,0,0.0,0.317,0.513,0.513,,18283.0,0.068,638,0.146,0.145,,2.602,0.009,0.007,2.602,,0.091,4.203,0.182,0.264
2000-03-09,0,1971.0,0.326,0.527,0.527,,18650.0,0.068,638,0.146,0.145,,2.602,0.009,0.007,2.602,,0.091,4.203,0.182,0.264
2000-03-10,0,0.0,0.326,0.527,0.527,,18280.0,0.068,643,0.146,0.145,,2.602,0.009,0.007,2.602,,0.091,4.203,0.182,0.264
2000-03-13,0,0.0,0.326,0.527,0.527,,17595.0,0.068,663,0.146,0.145,,2.602,0.009,0.007,2.602,,0.091,4.203,0.182,0.264
2000-03-14,0,227.0,0.305,0.494,0.494,,17222.0,0.068,663,0.146,0.145,,2.602,0.009,0.007,2.602,,0.091,4.203,0.182,0.264
2000-03-15,0,0.0,0.305,0.494,0.494,,17382.0,0.068,680,0.146,0.145,,2.602,0.009,0.007,2.602,,0.091,4.203,0.182,0.264
2000-03-16,0,99343.0,0.309,0.501,0.501,,17642.0,0.068,665,0.146,0.145,,2.602,0.009,0.007,2.602,,0.091,4.203,0.182,0.264
2000-03-17,0,1516.0,0.309,0.501,0.501,,17511.0,0.068,657,0.146,0.145,,2.602,0.009,0.007,2.602,,0.091,4.203,0.182,0.264
2000-03-20,0,0.0,0.309,0.501,0.501,,17526.0,0.068,658,0.146,0.145,,2.602,0.009,0.007,2.602,,0.091,4.203,0.182,0.264
2000-03-21,0,15167.0,0.309,0.501,0.501,,18343.0,0.068,651,0.146,0.145,,2.602,0.009,0.007,2.602,,0.091,4.203,0.182,0.264
2000-03-22,0,7583.0,0.322,0.521,0.521,,18314.0,0.068,633,0.146,0.145,,2.602,0.009,0.007,2.602,,0.091,4.203,0.182,0.264
2000-03-23,0,8493.0,0.334,0.541,0.541,,18331.0,0.068,650,0.146,0.145,,2.602,0.009,0.007,2.602,,0.091,4.203,0.182,0.264
2000-03-24,0,67189.0,0.344,0.556,0.556,,18675.0,0.068,633,0.146,0.145,,2.602,0.009,0.007,2.602,,0.091,4.203,0.182,0.264
2000-03-27,0,227.0,0.35,0.567,0.567,,18951.0,0.068,630,0.146,0.145,,2.602,0.009,0.007,2.602,,0.091,4.203,0.182,0.264
2000-03-28,0,1592.0,0.35,0.567,0.567,,18338.0,0.068,632,0.146,0.145,,2.602,0.009,0.007,2.602,,0.091,4.203,0.182,0.264
2000-03-29,0,0.0,0.35,0.567,0.567,,18053.0,0.067,643,0.145,0.145,,2.602,0.009,0.007,2.602,,0.091,4.203,0.182,0.264
2000-03-30,0,20172.0,0.366,0.593,0.593,,17647.0,0.067,679,0.145,0.145,,2.602,0.009,0.007,2.602,,0.091,4.203,0.182,0.264
2000-03-31,0,11299.0,0.375,0.607,0.607,,17820.0,0.067,679,0.145,0.145,,2.602,0.009,0.007,2.602,,0.091,4.203,0.182,0.264
2000-04-03,0,1365.0,0.373,0.603,0.603,,17245.0,0.067,695,0.145,0.145,,2.65,0.016,0.01,2.65,,0.093,4.23,0.173,0.264
2000-04-04,0,1516.0,0.37,0.6,0.6,,16758.0,0.067,722,0.145,0.145,,2.65,0.016,0.01,2.65,,0.093,4.23,0.173,0.264
2000-04-05,0,8948.0,0.383,0.62,0.62,,16714.0,0.067,736,0.145,0.145,,2.65,0.016,0.01,2.65,,0.093,4.23,0.173,0.264
2000-04-06,0,4474.0,0.387,0.626,0.626,,17146.0,0.067,726,0.145,0.145,,2.65,0.016,0.01,2.65,,0.093,4.23,0.173,0.264
2000-04-07,0,52098.0,0.395,0.64,0.64,,17514.0,0.067,730,0.145,0.145,,2.65,0.016,0.01,2.65,,0.093,4.23,0.173,0.264
2000-04-10,0,1820.0,0.406,0.658,0.658,,16783.0,0.067,735,0.145,0.145,,2.65,0.016,0.01,2.65,,0.093,4.23,0.173,0.264
2000-04-11,0,14787.0,0.403,0.653,0.653,,16539.0,0.067,739,0.145,0.145,,2.65,0.016,0.01,2.65,,0.093,4.23,0.173,0.264
2000-04-12,0,227.0,0.403,0.653,0.653,,16323.0,0.067,739,0.145,0.145,,2.65,0.016,0.01,2.65,,0.093,4.23,0.173,0.264
2000-04-13,0,0.0,0.403,0.653,0.653,,15501.0,0.067,754,0.145,0.145,,2.65,0.016,0.01,2.65,,0.093,4.23,0.173,0.264
2000-04-14,0,1895.0,0.366,0.593,0.593,,14794.0,0.067,780,0.145,0.145,,2.65,0.016,0.01,2.65,,0.093,4.23,0.173,0.264
2000-04-17,0,303.0,0.366,0.593,0.593,,14816.0,0.067,801,0.145,0.145,,2.65,0.016,0.01,2.65,,0.093,4.23,0.173,0.264
2000-04-18,0,4019.0,0.366,0.593,0.593,,15408.0,0.067,772,0.145,0.145,,2.65,0.016,0.01,2.65,,0.093,4.23,0.173,0.264
2000-04-19,0,151.0,0.366,0.593,0.593,,14926.0,0.067,766,0.145,0.145,,2.65,0.016,0.01,2.65,,0.093,4.23,0.173,0.264
2000-04-20,0,227.0,0.366,0.593,0.593,,15203.0,0.067,764,0.145,0.145,,2.65,0.016,0.01,2.65,,0.093,4.23,0.173,0.264
2000-04-24,0,0.0,0.366,0.593,0.593,,14794.0,0.067,784,0.145,0.145,,2.65,0.016,0.01,2.65,,0.093,4.23,0.173,0.264
2000-04-25,0,0.0,0.366,0.593,0.593,,15401.0,0.067,741,0.145,0.145,,2.65,0.016,0.01,2.65,,0.093,4.23,0.173,0.264
2000-04-26,0,379.0,0.366,0.593,0.593,,15446.0,0.067,751,0.145,0.145,,2.65,0.016,0.01,2.65,,0.093,4.23,0.173,0.264
2000-04-27,0,4095.0,0.375,0.607,0.607,,15440.0,0.067,753,0.145,0.145,,2.65,0.016,0.01,2.65,,0.093,4.23,0.173,0.264
2000-04-28,0,75.0,0.387,0.626,0.626,,15538.0,0.067,742,0.145,0.145,,2.65,0.016,0.01,2.65,,0.093,4.23,0.173,0.264
2000-05-02,0,0.0,0.387,0.626,0.626,,15524.0,0.067,736,0.145,0.145,,2.537,0.0,0.014,2.537,,0.094,4.243,0.182,0.264
2000-05-03,0,7735.0,0.387,0.626,0.626,,15109.0,0.067,770,0.145,0.145,,2.537,0.0,0.014,2.537,,0.094,4.243,0.182,0.264
2000-05-04,0,15167.0,0.383,0.62,0.62,,14970.0,0.067,782,0.145,0.145,,2.537,0.0,0.014,2.537,,0.094,4.243,0.182,0.264
2000-05-05,0,1289.0,0.383,0.62,0.62,,15218.0,0.067,795,0.145,0.145,,2.537,0.0,0.014,2.537,,0.094,4.243,0.182,0.264
2000-05-08,0,0.0,0.383,0.62,0.62,,14891.0,0.067,810,0.145,0.145,,2.537,0.0,0.014,2.537,,0.094,4.243,0.182,0.264
2000-05-09,0,75.0,0.383,0.62,0.62,,14582.0,0.067,809,0.145,0.145,,2.537,0.0,0.014,2.537,,0.094,4.243,0.182,0.264
2000-05-10,0,75.0,0.383,0.62,0.62,,14434.0,0.067,835,0.145,0.145,,2.537,0.0,0.014,2.537,,0.094,4.243,0.182,0.264
2000-05-11,0,0.0,0.383,0.62,0.62,,14499.0,0.067,823,0.145,0.145,,2.537,0.0,0.014,2.537,,0.094,4.243,0.182,0.264
2000-05-12,0,0.0,0.383,0.62,0.62,,14459.0,0.067,838,0.145,0.145,,2.537,0.0,0.014,2.537,,0.094,4.243,0.182,0.264
2000-05-15,0,75.0,0.391,0.633,0.633,,15056.0,0.067,823,0.145,0.145,,2.537,0.0,0.014,2.537,,0.094,4.243,0.182,0.264
2000-05-16,0,0.0,0.391,0.633,0.633,,15360.0,0.067,826,0.145,0.145,,2.537,0.0,0.014,2.537,,0.094,4.243,0.182,0.264
2000-05-17,0,0.0,0.391,0.633,0.633,,14871.0,0.067,815,0.145,0.145,,2.537,0.0,0.014,2.537,,0.094,4.243,0.182,0.264
2000-05-18,0,7735.0,0.366,0.593,0.593,,14627.0,0.067,809,0.145,0.145,,2.537,0.0,0.014,2.537,,0.094,4.243,0.182,0.264
2000-05-19,0,0.0,0.366,0.593,0.593,,14327.0,0.067,833,0.145,0.145,,2.537,0.0,0.014,2.537,,0.094,4.243,0.182,0.264
2000-05-22,0,3791.0,0.362,0.587,0.587,,13891.0,0.067,854,0.145,0.145,,2.537,0.0,0.014,2.537,,0.094,4.243,0.182,0.264
